iter	RMSE
0	694.7591587
1	688.0907134
2	682.2187638
3	676.3213076
4	671.2417582
5	666.4870639
6	662.2292582
7	658.2082065
8	654.4925598
9	651.245625
10	647.6794734
11	644.8067791
12	642.3541705
13	640.0869848
14	637.7972033
15	635.6737273
16	633.6226812
17	631.7878385
18	630.0775977
19	628.5219048
20	627.2011024
21	626.0063232
22	624.4710068
23	623.4189
24	622.4076075
25	621.5406951
26	620.3290471
27	619.5309271
28	618.6907326
29	618.0321577
30	617.0167387
31	616.4207512
32	615.4709594
33	614.8472407
34	614.1038407
35	613.404266
36	612.6496541
37	612.1690439
38	611.6144098
39	611.2837914
40	610.7710507
41	610.1845642
42	609.6604498
43	609.3429756
44	608.9945382
45	608.4305917
46	607.8726818
47	607.4086231
48	607.0885175
49	606.8150254
50	606.5541955
51	606.1787945
52	605.7368495
53	605.4487178
54	605.1502918
55	604.9232772
56	604.7156201
57	604.33753
58	604.0151921
59	603.7254697
60	603.5137204
61	603.2993367
62	603.157053
63	602.842806
64	602.5897956
65	602.3974309
66	602.0050396
67	601.7250554
68	601.4633738
69	601.3260275
70	601.1678585
71	600.9461469
72	600.8549594
73	600.6611351
74	600.4072658
75	600.1889659
76	600.0118686
77	599.898122
78	599.721199
79	599.5651087
80	599.4234199
81	599.3438018
82	599.2290016
83	598.9564055
84	598.8420245
85	598.7262972
86	598.5838897
87	598.4390773
88	598.3297586
89	598.202308
90	598.0357661
91	597.7825939
92	597.71316
93	597.6362253
94	597.4475113
95	597.3550749
96	597.1791466
97	596.9931438
98	596.8856947
99	596.7054202
100	596.5098409
101	596.3991276
102	596.2694678
103	596.1510125
104	596.0755548
105	595.9062634
106	595.7451346
107	595.601628
108	595.5013076
109	595.3948869
110	595.289391
111	595.1888256
112	595.0857355
113	595.0326321
114	594.7854535
115	594.6964046
116	594.6027958
117	594.4607971
118	594.2393029
119	594.1897055
120	594.0163693
121	593.8858177
122	593.7742589
123	593.6367347
124	593.5453832
125	593.4507539
126	593.4035121
127	593.2191358
128	593.0749969
129	592.9322567
130	592.8539559
131	592.7793191
132	592.7031231
133	592.4665534
134	592.4095106
135	592.2928823
136	592.2299812
137	592.1428553
138	592.0633044
139	591.9780687
140	591.7373694
141	591.5917294
142	591.4633125
143	591.3628763
144	591.2381473
145	591.0386025
146	590.937744
147	590.8154263
148	590.7437241
149	590.6281953
150	590.6033942
151	590.5027323
152	590.3905816
153	590.3188347
154	590.2818542
155	590.196959
156	590.096599
157	590.0107901
158	589.8767881
159	589.713864
160	589.630358
161	589.4873937
162	589.3617961
163	589.2771778
164	589.0948514
165	588.9410398
166	588.8347463
167	588.718321
168	588.6113888
169	588.4908145
170	588.3905669
171	588.3037991
172	588.1653319
173	588.0202023
174	587.9658444
175	587.8945467
176	587.8038409
177	587.6720868
178	587.5838266
179	587.5146135
180	587.3521878
181	587.2884246
182	587.2031237
183	587.127767
184	587.0054529
185	586.9214015
186	586.8376121
187	586.7228916
188	586.6498487
189	586.5512103
190	586.4031865
191	586.228132
192	586.0796148
193	585.9374315
194	585.849599
195	585.7639297
196	585.6976628
197	585.6078779
198	585.5242722
199	585.4208234
200	585.3045373
201	585.2317069
202	585.0876648
203	585.0251233
204	584.8525137
205	584.7703371
206	584.5689939
207	584.4545498
208	584.3790969
