iter	Passed	Remaining
0	33	15394
1	35	8142
2	37	5674
3	39	4464
4	40	3695
5	42	3179
6	43	2808
7	45	2541
8	46	2327
9	47	2154
10	49	2008
11	50	1891
12	52	1790
13	53	1703
14	54	1625
15	56	1559
16	57	1505
17	59	1457
18	60	1409
19	62	1371
20	64	1334
21	65	1299
22	66	1266
23	68	1236
24	69	1209
25	71	1185
26	72	1160
27	73	1138
28	75	1120
29	76	1099
30	78	1082
31	79	1063
32	81	1049
33	82	1034
34	84	1020
35	85	1006
36	87	993
37	88	981
38	90	969
39	91	957
40	92	945
41	94	935
42	95	924
43	96	914
44	98	903
45	99	894
46	100	884
47	102	875
48	103	866
49	104	857
50	106	849
51	107	841
52	108	834
53	110	826
54	111	818
55	112	811
56	114	805
57	115	799
58	116	793
59	118	786
60	119	781
61	121	775
62	122	770
63	123	764
64	125	760
65	126	755
66	128	750
67	129	745
68	130	739
69	132	734
70	133	729
71	134	724
72	135	718
73	137	714
74	138	710
75	140	706
76	141	702
77	143	698
78	144	695
79	146	691
80	147	688
81	148	684
82	150	680
83	151	677
84	153	673
85	154	669
86	155	665
87	157	662
88	158	659
89	159	655
90	161	652
91	162	648
92	163	644
93	165	641
94	166	637
95	167	633
96	168	630
97	170	626
98	171	622
99	172	619
100	173	615
101	174	612
102	176	608
103	177	605
104	178	603
105	180	600
106	181	597
107	182	594
108	184	591
109	185	588
110	186	585
111	188	582
112	189	579
113	190	577
114	192	574
115	193	571
116	194	569
117	196	566
118	197	564
119	199	562
120	200	559
121	201	557
122	202	554
123	204	551
124	205	548
125	206	546
126	208	544
127	209	542
128	211	540
129	212	538
130	214	536
131	215	534
132	217	532
133	218	530
134	220	528
135	221	526
136	222	523
137	224	521
138	225	518
139	226	516
140	227	513
141	229	511
142	230	508
143	231	506
144	232	504
145	234	502
146	235	499
147	236	497
148	238	495
149	239	493
150	240	491
151	242	489
152	243	487
153	245	486
154	246	484
155	248	482
156	249	479
157	250	477
158	252	475
159	253	473
160	254	471
161	255	469
162	257	467
163	258	465
164	259	463
165	261	461
166	262	459
167	264	457
168	265	455
169	266	453
170	268	451
171	269	449
172	270	447
173	271	445
174	273	443
175	274	441
176	275	439
177	277	437
178	278	435
179	279	433
180	280	431
181	282	429
182	283	427
183	285	426
184	286	424
185	287	422
186	289	420
187	290	418
188	291	417
189	293	415
190	294	413
191	296	411
192	297	410
193	298	408
194	300	406
195	301	404
196	302	402
197	303	400
198	305	398
199	306	397
200	307	395
201	309	393
202	310	391
203	312	390
204	313	388
205	314	386
206	316	384
207	317	382
208	318	381
209	319	379
210	321	377
211	322	375
212	324	374
213	325	372
214	326	370
215	327	368
216	329	367
217	330	365
218	331	363
219	332	361
220	334	360
221	335	358
222	336	356
223	338	354
224	339	353
225	341	351
226	342	349
227	343	348
228	344	346
229	346	344
230	347	343
231	348	341
232	349	339
233	351	337
234	352	336
235	353	334
236	355	332
237	356	330
238	357	329
239	358	327
240	360	325
241	361	324
242	362	322
243	364	320
244	365	319
245	366	317
246	368	316
247	369	314
248	370	312
249	372	311
250	373	309
251	374	307
252	376	306
253	377	304
254	379	303
255	380	301
256	382	300
257	383	298
258	384	297
259	385	295
260	387	293
261	388	292
262	389	290
263	391	288
264	392	287
265	393	285
266	395	284
267	396	282
268	398	281
269	399	279
270	400	277
271	401	276
272	403	274
273	404	273
274	405	271
275	407	270
276	408	268
277	410	267
278	411	265
279	412	263
280	414	262
281	415	260
282	416	259
283	418	257
284	419	256
285	420	254
286	422	253
287	423	251
288	424	249
289	426	248
290	427	246
291	428	245
292	429	243
293	431	241
294	432	240
295	433	238
296	435	237
297	436	235
298	438	234
299	439	232
300	440	231
301	442	229
302	443	228
303	444	226
304	445	225
305	447	223
306	448	221
307	449	220
308	451	218
309	452	217
310	453	215
311	455	214
312	456	212
313	457	211
314	458	209
315	460	208
316	461	206
317	462	205
318	464	203
319	465	202
320	466	200
321	468	199
322	469	197
323	470	196
324	472	194
325	473	193
326	474	191
327	476	190
328	477	188
329	478	187
330	479	185
331	481	184
332	482	182
333	483	180
334	484	179
335	485	177
336	487	176
337	488	174
338	489	173
339	490	171
340	491	170
341	493	168
342	494	167
343	495	165
344	497	164
345	498	162
346	499	161
347	501	159
348	502	158
349	503	156
350	504	155
351	506	153
352	507	152
353	508	150
354	510	149
355	511	148
356	513	146
357	514	145
358	515	143
359	517	142
360	518	140
361	519	139
362	521	137
363	522	136
364	523	134
365	525	133
366	526	131
367	527	130
368	529	129
369	530	127
370	531	126
371	533	124
372	534	123
373	535	121
374	536	120
375	538	118
376	539	117
377	541	115
378	542	114
379	543	113
380	545	111
381	546	110
382	547	108
383	549	107
384	550	105
385	551	104
386	553	102
387	554	101
388	555	100
389	557	98
390	558	97
391	559	95
392	561	94
393	562	92
394	563	91
395	565	89
396	566	88
397	567	87
398	569	85
399	570	84
400	571	82
401	572	81
402	573	79
403	575	78
404	576	76
405	577	75
406	578	73
407	580	72
408	581	71
409	583	69
410	584	68
411	585	66
412	586	65
413	588	63
414	589	62
415	590	61
416	592	59
417	593	58
418	594	56
419	596	55
420	597	53
421	598	52
422	600	51
423	601	49
424	602	48
425	604	46
426	605	45
427	606	43
428	607	42
429	609	41
430	610	39
431	612	38
432	613	36
433	615	35
434	616	34
435	617	32
