iter	RMSE
0	175.5731833
1	172.38654
2	169.4713191
3	166.8635753
4	164.5076039
5	162.3599915
6	160.4471509
7	158.6668923
8	157.0507262
9	155.5893416
10	154.2600537
11	153.0473987
12	151.9255819
13	150.8870518
14	149.9855264
15	149.1210013
16	148.3759008
17	147.7039998
18	147.104083
19	146.5657349
20	146.0835651
21	145.6279486
22	145.2421537
23	144.8928627
24	144.5528973
25	144.234121
26	143.9858794
27	143.7244149
28	143.5079083
29	143.2781304
30	143.0762862
31	142.919027
32	142.7476281
33	142.6073914
34	142.486375
35	142.3514467
36	142.2507003
37	142.1361021
38	142.0434522
39	141.9332913
40	141.848903
41	141.7722259
42	141.713585
43	141.6591065
44	141.5978764
45	141.5470963
46	141.4849556
47	141.4466229
48	141.3739697
49	141.3293701
50	141.2985071
51	141.2501296
52	141.2104407
53	141.1550721
54	141.1050316
55	141.0819228
56	141.0644907
57	141.0380596
58	140.9846092
59	140.9634953
60	140.9385748
61	140.9034496
62	140.8560216
63	140.8379076
64	140.8156388
65	140.7844292
66	140.7495933
67	140.725977
68	140.7108237
69	140.683362
70	140.654842
71	140.6321206
72	140.6153516
73	140.5884246
74	140.5666538
75	140.5294503
76	140.5182179
77	140.481245
78	140.4676133
79	140.44911
80	140.4163753
81	140.4028593
82	140.3861198
83	140.3587124
84	140.3435273
85	140.3305982
86	140.3081739
87	140.2822975
88	140.2662715
89	140.2371607
90	140.2229304
91	140.19628
92	140.1861803
93	140.1647259
94	140.1445755
95	140.1290754
96	140.1016438
97	140.0899844
98	140.0828862
99	140.054061
100	140.0243649
101	139.9979414
102	139.9702535
103	139.9593311
104	139.9436336
105	139.904613
106	139.8958521
107	139.8642787
108	139.8461095
109	139.8174121
110	139.7990335
111	139.7736818
112	139.7381003
113	139.7095551
114	139.7040559
115	139.6835409
116	139.6646793
117	139.650346
118	139.6209844
119	139.6023381
120	139.5796965
121	139.5676652
122	139.5527816
123	139.5352086
124	139.5039665
125	139.4935278
126	139.462589
127	139.4304074
128	139.4142383
129	139.3887361
130	139.3750309
131	139.3614488
132	139.3388385
133	139.3228986
134	139.3004574
135	139.2733751
136	139.2566329
137	139.2260244
138	139.2061712
139	139.1889414
140	139.1712393
141	139.1567134
142	139.1395892
143	139.1308071
144	139.094817
145	139.0832578
146	139.0605234
147	139.0354157
148	139.0075525
149	138.9864538
150	138.9637575
151	138.9388798
152	138.9187375
153	138.8648117
154	138.8541452
155	138.839392
156	138.8247392
157	138.7890574
158	138.7606925
159	138.7375691
160	138.7131161
161	138.6988522
162	138.6586609
163	138.6481663
164	138.6146075
165	138.5911444
