iter	Passed	Remaining
0	133	133696
1	136	68004
2	137	45837
3	139	34841
4	141	28178
5	143	23730
6	144	20559
7	146	18189
8	148	16306
9	149	14783
10	150	13548
11	151	12513
12	153	11638
13	154	10897
14	156	10250
15	157	9682
16	158	9181
17	160	8733
18	161	8333
19	162	7968
20	163	7641
21	165	7346
22	166	7075
23	167	6827
24	169	6598
25	170	6386
26	171	6190
27	173	6010
28	174	5843
29	175	5690
30	177	5545
31	178	5403
32	180	5277
33	181	5160
34	182	5045
35	184	4937
36	185	4837
37	187	4742
38	188	4648
39	189	4557
40	191	4476
41	192	4393
42	193	4315
43	195	4239
44	196	4168
45	197	4100
46	198	4034
47	200	3973
48	201	3915
49	203	3857
50	204	3801
51	205	3749
52	206	3697
53	208	3647
54	209	3597
55	210	3551
56	212	3508
57	213	3464
58	214	3422
59	216	3385
60	217	3346
61	218	3308
62	220	3272
63	221	3239
64	222	3205
65	224	3172
66	225	3140
67	226	3108
68	228	3077
69	229	3048
70	230	3019
71	232	2991
72	233	2966
73	234	2940
74	236	2914
75	237	2889
76	238	2864
77	240	2839
78	241	2816
79	242	2794
80	244	2772
81	245	2752
82	247	2732
83	248	2711
84	250	2692
85	251	2675
86	253	2656
87	254	2638
88	255	2618
89	257	2600
90	258	2583
91	260	2567
92	261	2550
93	262	2534
94	264	2519
95	265	2503
96	267	2488
97	268	2472
98	269	2456
99	271	2441
100	272	2425
101	273	2410
102	275	2395
103	276	2381
104	277	2367
105	279	2355
106	280	2343
107	282	2331
108	283	2317
109	284	2304
110	286	2291
111	287	2278
112	288	2265
113	289	2253
114	291	2241
115	292	2230
116	294	2219
117	295	2207
118	296	2196
119	297	2184
120	299	2174
121	300	2163
122	301	2152
123	303	2142
124	304	2132
125	305	2122
126	307	2111
127	308	2102
128	309	2092
129	311	2084
130	312	2075
131	314	2065
132	315	2056
133	316	2046
134	317	2037
135	319	2028
136	320	2018
137	321	2009
138	323	2001
139	324	1994
140	326	1986
141	327	1978
142	328	1970
143	330	1962
144	331	1954
145	332	1946
146	334	1938
147	335	1931
148	336	1923
149	338	1916
150	339	1909
151	340	1901
152	342	1895
153	343	1888
154	345	1880
155	346	1873
156	347	1866
157	348	1858
158	350	1852
159	351	1845
160	352	1838
161	354	1831
162	355	1824
163	356	1818
164	358	1812
165	359	1805
166	360	1799
167	362	1793
168	363	1786
169	364	1780
170	365	1773
171	367	1767
172	368	1761
173	369	1755
174	371	1749
