iter	RMSE
0	692.122747
1	685.8080998
2	679.8056342
3	673.9716579
4	668.7385195
5	664.0718826
6	659.8315403
7	656.1009815
8	652.4955187
9	649.0927235
10	646.1412492
11	643.3446375
12	640.8598508
13	638.6941376
14	636.6223398
15	634.6369925
16	632.2982567
17	630.5200748
18	628.9908106
19	627.6912632
20	626.4217474
21	625.1399967
22	624.1326633
23	623.1371537
24	622.3864459
25	621.1531463
26	620.1084945
27	619.4411099
28	618.7264624
29	617.794019
30	616.8525349
31	615.8251378
32	614.8640526
33	614.3492527
34	613.9851216
35	613.4646117
36	613.0295632
37	612.4826344
38	611.8152086
39	611.1342504
40	610.6330903
41	610.1696809
42	609.6156771
43	609.2892421
44	608.8459033
45	608.2827426
46	607.8399984
47	607.4295737
48	607.1327289
49	606.8278759
50	606.5352041
51	606.2660959
52	605.9997166
53	605.7072334
54	605.5061079
55	605.1742237
56	604.8303338
57	604.5174941
58	604.3282107
59	604.1299729
60	603.9092643
61	603.5710303
62	603.3699131
63	603.1793053
64	603.003658
65	602.8523744
66	602.6455492
67	602.3738452
68	602.0987871
69	601.8691477
70	601.6052855
71	601.4634536
72	601.1774173
73	600.9366347
74	600.6889834
75	600.5730237
76	600.4184389
77	600.2319862
78	600.0294562
79	599.8713459
80	599.735523
81	599.5267457
82	599.4204736
83	599.2826741
84	599.1100396
85	598.9606763
86	598.8928687
87	598.6311967
88	598.4270906
89	598.3177215
90	598.0719016
91	597.8255712
92	597.6711434
93	597.5954287
94	597.4058247
95	597.3218301
96	597.2194992
97	597.1085724
98	596.9781533
99	596.9068078
100	596.7407505
101	596.5052345
102	596.4056625
103	596.2311589
104	596.1109126
105	595.9321673
106	595.8312372
107	595.6428865
108	595.5021665
109	595.4137712
110	595.2543872
111	595.1674666
112	595.1330562
113	594.8940786
114	594.7593522
115	594.6230279
116	594.5117043
117	594.4034847
118	594.2641894
119	594.1839604
120	594.0425764
121	593.8776235
122	593.8219323
123	593.7288074
124	593.6418672
125	593.5368203
126	593.3261671
127	593.1827969
128	593.0637955
129	592.8464422
130	592.6918544
131	592.5874354
132	592.4785182
133	592.3694411
134	592.2183862
135	592.0824313
136	591.9536286
137	591.8832071
138	591.8141028
139	591.659173
140	591.6267114
141	591.4992468
142	591.4310442
143	591.2780606
144	591.2024619
145	591.1208515
146	591.0704401
147	590.9987378
148	590.9091335
149	590.8097074
150	590.737899
151	590.6075682
152	590.5508203
153	590.4500915
154	590.325239
155	590.2441
156	590.1881609
157	590.1005583
158	590.0343968
159	589.9458479
160	589.8827434
161	589.7396395
162	589.6791726
163	589.6133246
164	589.4549755
165	589.3703777
166	589.2705229
167	589.1274339
168	589.0060702
169	588.8718065
170	588.8460332
171	588.7978464
172	588.7287643
173	588.5638334
174	588.4512305
175	588.3516645
176	588.1407534
177	588.0552184
178	587.9661398
179	587.9006892
180	587.8108381
181	587.6684822
182	587.5411625
183	587.4498721
184	587.41633
185	587.3518088
186	587.2779891
187	587.1527402
188	587.0436403
189	586.9826413
190	586.8982558
191	586.8553209
192	586.7603025
193	586.6031361
194	586.4784485
195	586.3173965
196	586.1914986
197	586.0608994
198	585.9083674
199	585.7859596
200	585.7167222
201	585.6050535
202	585.4871455
203	585.3831775
204	585.3152004
205	585.1870128
206	585.0682199
207	584.9554878
208	584.8336942
209	584.7557955
210	584.6261829
211	584.50334
212	584.4486221
213	584.3321552
214	584.2606272
215	584.1745165
216	584.0939959
217	584.0257982
218	583.94759
219	583.8775165
220	583.7746854
221	583.6502093
222	583.5386456
223	583.406364
224	583.2918749
225	583.1887474
226	583.0907614
227	582.9949965
228	582.8799498
229	582.7636656
230	582.7042945
231	582.6051996
232	582.4828868
233	582.3949783
234	582.2582073
235	582.1185239
236	582.0378157
237	581.9322946
238	581.8254769
239	581.7170644
240	581.6315285
241	581.5728094
242	581.4932054
243	581.4020486
244	581.3059237
245	581.2342656
246	581.1447131
247	581.0879693
248	580.9822474
249	580.8871861
250	580.8425932
251	580.7458932
252	580.6601622
253	580.5809768
254	580.4853359
255	580.4093756
256	580.3444119
257	580.242765
258	580.157045
259	580.0776152
260	579.9700428
261	579.8813412
262	579.7927938
263	579.7364431
264	579.670227
265	579.6120464
266	579.5339387
267	579.4828321
268	579.3841339
269	579.3221443
270	579.1691491
271	579.1235648
272	579.0401109
273	578.9803402
274	578.9239125
275	578.8332702
276	578.7377278
277	578.6407776
278	578.5876146
279	578.5356809
280	578.397513
281	578.3624045
282	578.2919422
283	578.2084095
284	578.1291792
285	578.0425646
286	577.9357094
287	577.9017721
288	577.8164002
289	577.7529436
290	577.699629
291	577.6217437
292	577.5450806
293	577.470043
294	577.4094211
295	577.3682482
296	577.2973023
297	577.2234288
298	577.1373443
299	577.0634411
300	577.0101987
301	576.9251499
302	576.8234919
303	576.7914488
304	576.7136722
305	576.5792488
306	576.4806282
307	576.4497016
308	576.3276457
309	576.2498468
310	576.1315006
311	576.0298613
312	575.9730179
313	575.9228442
314	575.8465789
315	575.7513531
316	575.6905342
317	575.6367668
318	575.5842831
319	575.513038
320	575.4736277
321	575.3821982
322	575.3177857
323	575.2001279
324	575.103359
325	575.0456033
326	574.9735553
327	574.9112905
328	574.8719213
329	574.8242616
330	574.7273097
331	574.6766533
332	574.611631
333	574.5451177
334	574.4484283
335	574.3422088
336	574.2673751
337	574.2077432
338	574.1598506
339	574.1219251
340	574.0358601
341	573.9898122
342	573.902126
343	573.8427058
344	573.7870461
345	573.7477941
346	573.6604775
347	573.6264482
348	573.5909829
349	573.5324365
350	573.4543437
351	573.3767715
352	573.2709127
353	573.207231
354	573.1536075
355	573.041271
356	572.9824653
357	572.8928666
358	572.8362622
359	572.7918411
360	572.7517623
361	572.7222236
362	572.653049
363	572.5731152
364	572.4820233
365	572.4009142
366	572.356556
367	572.3280175
368	572.2982073
369	572.252848
370	572.1837861
371	572.0936619
372	572.0619142
373	571.9837984
374	571.9672858
375	571.8949372
376	571.857005
377	571.7738462
378	571.7576925
379	571.7091432
380	571.6718762
381	571.5689217
382	571.4943346
383	571.4314482
384	571.336406
385	571.2944024
386	571.1985072
387	571.1196227
388	571.0458215
389	570.9586968
390	570.9047317
391	570.8314532
392	570.7739749
393	570.7124475
394	570.6592744
395	570.5996995
396	570.5641318
397	570.4720589
398	570.44057
399	570.3552573
400	570.321049
401	570.245456
402	570.2044802
403	570.189225
404	570.1097225
405	570.0462695
406	569.9703195
407	569.9409017
408	569.914081
409	569.8762849
410	569.8264002
411	569.7489009
412	569.6670885
413	569.6173428
414	569.5842951
415	569.5561721
416	569.5305523
417	569.5049393
418	569.4448507
419	569.3802961
420	569.3251176
421	569.2725569
422	569.2533629
423	569.2123356
424	569.1727973
425	569.1346688
426	569.0978761
427	569.0623503
428	569.0280266
429	568.9948447
430	568.962748
431	568.8898214
432	568.8725272
433	568.855524
434	568.838802
435	568.8223521
436	568.753378
437	568.7371859
438	568.721249
439	568.7055598
440	568.6901114
441	568.6748971
442	568.659911
443	568.645147
444	568.5798463
445	568.5652892
446	568.5250823
447	568.5107287
448	568.4298249
449	568.415682
450	568.3411131
451	568.327169
452	568.3134234
453	568.2259013
454	568.212484
455	568.1301945
456	568.1170918
457	568.1041719
458	568.0268802
