ID,대출등급
TEST_00000,A
TEST_00001,A
TEST_00002,A
TEST_00003,B
TEST_00004,C
TEST_00005,A
TEST_00006,A
TEST_00007,C
TEST_00008,A
TEST_00009,C
TEST_00010,B
TEST_00011,B
TEST_00012,C
TEST_00013,D
TEST_00014,A
TEST_00015,A
TEST_00016,D
TEST_00017,A
TEST_00018,A
TEST_00019,A
TEST_00020,B
TEST_00021,B
TEST_00022,D
TEST_00023,D
TEST_00024,A
TEST_00025,B
TEST_00026,A
TEST_00027,D
TEST_00028,C
TEST_00029,A
TEST_00030,C
TEST_00031,A
TEST_00032,A
TEST_00033,A
TEST_00034,A
TEST_00035,C
TEST_00036,C
TEST_00037,B
TEST_00038,B
TEST_00039,C
TEST_00040,D
TEST_00041,D
TEST_00042,B
TEST_00043,C
TEST_00044,A
TEST_00045,D
TEST_00046,D
TEST_00047,D
TEST_00048,A
TEST_00049,F
TEST_00050,A
TEST_00051,D
TEST_00052,C
TEST_00053,A
TEST_00054,A
TEST_00055,C
TEST_00056,A
TEST_00057,C
TEST_00058,A
TEST_00059,A
TEST_00060,C
TEST_00061,A
TEST_00062,A
TEST_00063,A
TEST_00064,C
TEST_00065,D
TEST_00066,C
TEST_00067,B
TEST_00068,B
TEST_00069,C
TEST_00070,A
TEST_00071,B
TEST_00072,C
TEST_00073,C
TEST_00074,C
TEST_00075,B
TEST_00076,B
TEST_00077,B
TEST_00078,A
TEST_00079,A
TEST_00080,A
TEST_00081,F
TEST_00082,A
TEST_00083,B
TEST_00084,A
TEST_00085,B
TEST_00086,C
TEST_00087,B
TEST_00088,B
TEST_00089,A
TEST_00090,A
TEST_00091,D
TEST_00092,D
TEST_00093,D
TEST_00094,B
TEST_00095,D
TEST_00096,C
TEST_00097,D
TEST_00098,B
TEST_00099,C
TEST_00100,A
TEST_00101,C
TEST_00102,B
TEST_00103,D
TEST_00104,C
TEST_00105,A
TEST_00106,C
TEST_00107,D
TEST_00108,C
TEST_00109,D
TEST_00110,A
TEST_00111,A
TEST_00112,A
TEST_00113,B
TEST_00114,C
TEST_00115,D
TEST_00116,B
TEST_00117,B
TEST_00118,B
TEST_00119,G
