ID,대출등급
TEST_00000,B
TEST_00001,B
TEST_00002,B
TEST_00003,B
TEST_00004,C
TEST_00005,B
TEST_00006,B
TEST_00007,B
TEST_00008,C
TEST_00009,B
TEST_00010,C
TEST_00011,B
TEST_00012,B
TEST_00013,C
TEST_00014,B
TEST_00015,B
TEST_00016,B
TEST_00017,B
TEST_00018,B
TEST_00019,C
TEST_00020,B
TEST_00021,B
TEST_00022,C
TEST_00023,C
TEST_00024,B
TEST_00025,C
TEST_00026,B
TEST_00027,C
TEST_00028,C
TEST_00029,C
TEST_00030,C
TEST_00031,B
TEST_00032,B
TEST_00033,B
TEST_00034,C
TEST_00035,B
TEST_00036,C
TEST_00037,C
TEST_00038,B
TEST_00039,C
TEST_00040,B
TEST_00041,C
TEST_00042,B
TEST_00043,B
TEST_00044,C
TEST_00045,B
TEST_00046,C
TEST_00047,C
TEST_00048,B
TEST_00049,C
TEST_00050,B
TEST_00051,C
TEST_00052,B
TEST_00053,B
TEST_00054,C
TEST_00055,C
TEST_00056,B
TEST_00057,C
TEST_00058,C
TEST_00059,C
TEST_00060,B
TEST_00061,B
TEST_00062,B
TEST_00063,B
TEST_00064,B
TEST_00065,B
TEST_00066,C
TEST_00067,B
TEST_00068,C
TEST_00069,C
TEST_00070,B
TEST_00071,C
TEST_00072,C
TEST_00073,C
TEST_00074,B
TEST_00075,B
TEST_00076,B
TEST_00077,B
TEST_00078,C
TEST_00079,C
TEST_00080,B
TEST_00081,C
TEST_00082,B
TEST_00083,B
TEST_00084,C
TEST_00085,B
TEST_00086,C
TEST_00087,B
TEST_00088,B
TEST_00089,B
TEST_00090,C
TEST_00091,C
TEST_00092,C
TEST_00093,C
TEST_00094,B
TEST_00095,E
TEST_00096,C
TEST_00097,C
TEST_00098,C
TEST_00099,C
TEST_00100,B
TEST_00101,C
TEST_00102,B
TEST_00103,C
TEST_00104,B
TEST_00105,B
TEST_00106,C
TEST_00107,B
TEST_00108,B
TEST_00109,C
TEST_00110,C
TEST_00111,B
TEST_00112,B
TEST_00113,B
TEST_00114,B
TEST_00115,B
TEST_00116,B
TEST_00117,B
TEST_00118,B
TEST_00119,C
TEST_00120,C
TEST_00121,B
TEST_00122,C
TEST_00123,B
TEST_00124,C
TEST_00125,B
TEST_00126,D
TEST_00127,C
TEST_00128,B
TEST_00129,C
TEST_00130,C
TEST_00131,B
TEST_00132,C
TEST_00133,C
TEST_00134,C
TEST_00135,B
TEST_00136,B
TEST_00137,B
TEST_00138,B
TEST_00139,C
TEST_00140,B
TEST_00141,B
TEST_00142,B
TEST_00143,C
TEST_00144,C
TEST_00145,B
TEST_00146,C
TEST_00147,C
TEST_00148,B
TEST_00149,B
TEST_00150,C
TEST_00151,C
TEST_00152,B
TEST_00153,C
TEST_00154,B
TEST_00155,B
TEST_00156,B
TEST_00157,B
TEST_00158,B
TEST_00159,B
TEST_00160,C
TEST_00161,C
TEST_00162,C
TEST_00163,C
TEST_00164,C
TEST_00165,C
TEST_00166,C
TEST_00167,C
TEST_00168,B
TEST_00169,B
TEST_00170,B
TEST_00171,C
TEST_00172,C
TEST_00173,C
TEST_00174,B
TEST_00175,B
TEST_00176,B
TEST_00177,B
TEST_00178,B
TEST_00179,B
TEST_00180,B
TEST_00181,B
TEST_00182,B
TEST_00183,B
TEST_00184,C
TEST_00185,B
TEST_00186,C
TEST_00187,B
TEST_00188,C
TEST_00189,C
TEST_00190,C
TEST_00191,C
TEST_00192,C
TEST_00193,C
TEST_00194,B
TEST_00195,C
TEST_00196,C
TEST_00197,B
TEST_00198,C
TEST_00199,B
TEST_00200,C
TEST_00201,C
TEST_00202,B
TEST_00203,B
TEST_00204,B
TEST_00205,C
TEST_00206,D
TEST_00207,B
TEST_00208,B
TEST_00209,C
TEST_00210,D
TEST_00211,B
TEST_00212,C
TEST_00213,C
TEST_00214,C
TEST_00215,B
TEST_00216,C
TEST_00217,B
TEST_00218,D
TEST_00219,C
TEST_00220,B
TEST_00221,C
TEST_00222,B
TEST_00223,C
TEST_00224,B
TEST_00225,B
TEST_00226,C
TEST_00227,C
TEST_00228,D
TEST_00229,C
TEST_00230,B
TEST_00231,C
TEST_00232,C
TEST_00233,B
TEST_00234,B
TEST_00235,B
TEST_00236,C
TEST_00237,D
TEST_00238,B
TEST_00239,B
TEST_00240,B
TEST_00241,B
TEST_00242,B
TEST_00243,B
TEST_00244,B
TEST_00245,B
TEST_00246,B
TEST_00247,B
TEST_00248,C
TEST_00249,B
TEST_00250,B
TEST_00251,B
TEST_00252,B
TEST_00253,B
TEST_00254,B
TEST_00255,B
TEST_00256,C
TEST_00257,B
TEST_00258,B
TEST_00259,C
TEST_00260,B
TEST_00261,B
TEST_00262,C
TEST_00263,B
TEST_00264,B
TEST_00265,B
TEST_00266,C
TEST_00267,C
TEST_00268,C
TEST_00269,B
TEST_00270,B
TEST_00271,C
TEST_00272,B
TEST_00273,B
TEST_00274,C
TEST_00275,B
TEST_00276,B
TEST_00277,B
TEST_00278,B
TEST_00279,D
TEST_00280,B
TEST_00281,C
TEST_00282,B
TEST_00283,B
TEST_00284,C
TEST_00285,C
TEST_00286,B
TEST_00287,B
TEST_00288,B
TEST_00289,B
TEST_00290,C
TEST_00291,C
TEST_00292,B
TEST_00293,C
TEST_00294,B
TEST_00295,B
TEST_00296,B
TEST_00297,B
TEST_00298,C
TEST_00299,B
TEST_00300,B
TEST_00301,B
TEST_00302,C
TEST_00303,C
TEST_00304,C
TEST_00305,B
TEST_00306,B
TEST_00307,B
TEST_00308,C
TEST_00309,C
TEST_00310,B
TEST_00311,B
TEST_00312,C
TEST_00313,B
TEST_00314,B
TEST_00315,B
TEST_00316,C
TEST_00317,B
TEST_00318,C
TEST_00319,C
TEST_00320,B
TEST_00321,C
TEST_00322,C
TEST_00323,B
TEST_00324,B
TEST_00325,B
TEST_00326,B
TEST_00327,C
TEST_00328,B
TEST_00329,C
TEST_00330,B
TEST_00331,B
TEST_00332,B
TEST_00333,B
TEST_00334,B
TEST_00335,B
TEST_00336,B
TEST_00337,B
TEST_00338,C
TEST_00339,C
TEST_00340,B
TEST_00341,C
TEST_00342,B
TEST_00343,B
TEST_00344,B
TEST_00345,C
TEST_00346,B
TEST_00347,C
TEST_00348,C
TEST_00349,B
TEST_00350,D
TEST_00351,B
TEST_00352,B
TEST_00353,B
TEST_00354,B
TEST_00355,B
TEST_00356,B
TEST_00357,B
TEST_00358,C
TEST_00359,B
TEST_00360,B
TEST_00361,C
TEST_00362,D
TEST_00363,B
TEST_00364,B
TEST_00365,C
TEST_00366,B
TEST_00367,B
TEST_00368,C
TEST_00369,E
TEST_00370,D
TEST_00371,B
TEST_00372,C
TEST_00373,B
TEST_00374,C
TEST_00375,C
TEST_00376,B
TEST_00377,B
TEST_00378,C
TEST_00379,B
TEST_00380,C
TEST_00381,B
TEST_00382,D
TEST_00383,C
TEST_00384,B
TEST_00385,C
TEST_00386,B
TEST_00387,B
TEST_00388,B
TEST_00389,B
TEST_00390,B
TEST_00391,B
TEST_00392,B
TEST_00393,B
TEST_00394,C
TEST_00395,C
TEST_00396,B
TEST_00397,B
TEST_00398,B
TEST_00399,B
TEST_00400,B
TEST_00401,C
TEST_00402,B
TEST_00403,C
TEST_00404,B
TEST_00405,B
TEST_00406,C
TEST_00407,B
TEST_00408,C
TEST_00409,B
TEST_00410,B
TEST_00411,B
TEST_00412,C
TEST_00413,B
TEST_00414,C
TEST_00415,B
TEST_00416,B
TEST_00417,C
TEST_00418,B
TEST_00419,C
TEST_00420,B
TEST_00421,D
TEST_00422,B
TEST_00423,E
TEST_00424,B
TEST_00425,C
TEST_00426,B
TEST_00427,B
TEST_00428,C
TEST_00429,B
TEST_00430,B
TEST_00431,B
TEST_00432,B
TEST_00433,B
TEST_00434,C
TEST_00435,B
TEST_00436,B
TEST_00437,B
TEST_00438,B
TEST_00439,B
TEST_00440,D
TEST_00441,C
TEST_00442,C
TEST_00443,C
TEST_00444,B
TEST_00445,B
TEST_00446,B
TEST_00447,B
TEST_00448,C
TEST_00449,B
TEST_00450,E
TEST_00451,C
TEST_00452,C
TEST_00453,C
TEST_00454,B
TEST_00455,B
TEST_00456,C
TEST_00457,C
TEST_00458,C
TEST_00459,B
TEST_00460,C
TEST_00461,B
TEST_00462,C
TEST_00463,C
TEST_00464,B
TEST_00465,B
TEST_00466,B
TEST_00467,B
TEST_00468,C
TEST_00469,C
TEST_00470,B
TEST_00471,C
TEST_00472,C
TEST_00473,C
TEST_00474,B
TEST_00475,C
TEST_00476,C
TEST_00477,C
TEST_00478,B
TEST_00479,B
TEST_00480,C
TEST_00481,B
TEST_00482,C
TEST_00483,B
TEST_00484,B
TEST_00485,B
TEST_00486,B
TEST_00487,B
TEST_00488,C
TEST_00489,B
TEST_00490,B
TEST_00491,B
TEST_00492,B
TEST_00493,C
TEST_00494,C
TEST_00495,C
TEST_00496,B
TEST_00497,B
TEST_00498,C
TEST_00499,C
TEST_00500,C
TEST_00501,B
TEST_00502,B
TEST_00503,B
TEST_00504,C
TEST_00505,B
TEST_00506,C
TEST_00507,C
TEST_00508,C
TEST_00509,C
TEST_00510,C
TEST_00511,B
TEST_00512,B
TEST_00513,B
TEST_00514,B
TEST_00515,B
TEST_00516,C
TEST_00517,B
TEST_00518,C
TEST_00519,B
TEST_00520,B
TEST_00521,D
TEST_00522,C
TEST_00523,B
TEST_00524,B
TEST_00525,B
TEST_00526,B
TEST_00527,B
TEST_00528,B
TEST_00529,B
TEST_00530,C
TEST_00531,C
TEST_00532,C
TEST_00533,B
TEST_00534,B
TEST_00535,B
TEST_00536,C
TEST_00537,C
TEST_00538,B
TEST_00539,C
TEST_00540,C
TEST_00541,B
TEST_00542,B
TEST_00543,B
TEST_00544,C
TEST_00545,C
TEST_00546,B
TEST_00547,D
TEST_00548,B
TEST_00549,B
TEST_00550,C
TEST_00551,B
TEST_00552,B
TEST_00553,B
TEST_00554,B
TEST_00555,E
TEST_00556,B
TEST_00557,C
TEST_00558,B
TEST_00559,B
TEST_00560,B
TEST_00561,B
TEST_00562,C
TEST_00563,C
TEST_00564,C
TEST_00565,C
TEST_00566,C
TEST_00567,C
TEST_00568,B
TEST_00569,B
TEST_00570,B
TEST_00571,B
TEST_00572,B
TEST_00573,C
TEST_00574,C
TEST_00575,B
TEST_00576,B
TEST_00577,C
TEST_00578,B
TEST_00579,B
TEST_00580,B
TEST_00581,B
TEST_00582,C
TEST_00583,B
TEST_00584,B
TEST_00585,C
TEST_00586,C
TEST_00587,B
TEST_00588,B
TEST_00589,C
TEST_00590,C
TEST_00591,C
TEST_00592,B
TEST_00593,D
TEST_00594,B
TEST_00595,B
TEST_00596,B
TEST_00597,C
TEST_00598,B
TEST_00599,C
TEST_00600,B
TEST_00601,B
TEST_00602,B
TEST_00603,C
TEST_00604,C
TEST_00605,B
TEST_00606,B
TEST_00607,B
TEST_00608,C
TEST_00609,C
TEST_00610,B
TEST_00611,B
TEST_00612,B
TEST_00613,C
TEST_00614,C
TEST_00615,C
TEST_00616,B
TEST_00617,B
TEST_00618,C
TEST_00619,B
TEST_00620,B
TEST_00621,B
TEST_00622,C
TEST_00623,B
TEST_00624,B
TEST_00625,B
TEST_00626,C
TEST_00627,B
TEST_00628,B
TEST_00629,E
TEST_00630,C
TEST_00631,B
TEST_00632,B
TEST_00633,B
TEST_00634,C
TEST_00635,C
TEST_00636,C
TEST_00637,C
TEST_00638,B
TEST_00639,C
TEST_00640,C
TEST_00641,C
TEST_00642,B
TEST_00643,B
TEST_00644,B
TEST_00645,B
TEST_00646,C
TEST_00647,B
TEST_00648,B
TEST_00649,C
TEST_00650,B
TEST_00651,B
TEST_00652,C
TEST_00653,B
TEST_00654,B
TEST_00655,B
TEST_00656,B
TEST_00657,B
TEST_00658,C
TEST_00659,B
TEST_00660,C
TEST_00661,C
TEST_00662,C
TEST_00663,B
TEST_00664,B
TEST_00665,B
TEST_00666,B
TEST_00667,B
TEST_00668,C
TEST_00669,C
TEST_00670,C
TEST_00671,C
TEST_00672,B
TEST_00673,C
TEST_00674,B
TEST_00675,B
TEST_00676,C
TEST_00677,C
TEST_00678,B
TEST_00679,C
TEST_00680,C
TEST_00681,B
TEST_00682,B
TEST_00683,C
TEST_00684,B
TEST_00685,C
TEST_00686,B
TEST_00687,D
TEST_00688,B
TEST_00689,B
TEST_00690,C
TEST_00691,B
TEST_00692,B
TEST_00693,C
TEST_00694,B
TEST_00695,B
TEST_00696,B
TEST_00697,B
TEST_00698,B
TEST_00699,B
TEST_00700,B
TEST_00701,B
TEST_00702,B
TEST_00703,D
TEST_00704,B
TEST_00705,C
TEST_00706,B
TEST_00707,C
TEST_00708,B
TEST_00709,B
TEST_00710,D
TEST_00711,C
TEST_00712,B
TEST_00713,B
TEST_00714,C
TEST_00715,C
TEST_00716,C
TEST_00717,C
TEST_00718,B
TEST_00719,B
TEST_00720,B
TEST_00721,C
TEST_00722,B
TEST_00723,C
TEST_00724,B
TEST_00725,C
TEST_00726,C
TEST_00727,C
TEST_00728,C
TEST_00729,C
TEST_00730,B
TEST_00731,B
TEST_00732,B
TEST_00733,C
TEST_00734,B
TEST_00735,C
TEST_00736,C
TEST_00737,B
TEST_00738,C
TEST_00739,C
TEST_00740,C
TEST_00741,B
TEST_00742,B
TEST_00743,C
TEST_00744,B
TEST_00745,C
TEST_00746,B
TEST_00747,B
TEST_00748,B
TEST_00749,C
TEST_00750,B
TEST_00751,B
TEST_00752,B
TEST_00753,B
TEST_00754,B
TEST_00755,C
TEST_00756,C
TEST_00757,B
TEST_00758,B
TEST_00759,B
TEST_00760,B
TEST_00761,B
TEST_00762,B
TEST_00763,B
TEST_00764,B
TEST_00765,C
TEST_00766,B
TEST_00767,C
TEST_00768,C
TEST_00769,C
TEST_00770,C
TEST_00771,B
TEST_00772,B
TEST_00773,C
TEST_00774,B
TEST_00775,C
TEST_00776,B
TEST_00777,C
TEST_00778,B
TEST_00779,C
TEST_00780,C
TEST_00781,B
TEST_00782,C
TEST_00783,B
TEST_00784,C
TEST_00785,B
TEST_00786,C
