ID,대출등급
TEST_00000,B
TEST_00001,B
TEST_00002,B
TEST_00003,B
TEST_00004,B
TEST_00005,B
TEST_00006,B
TEST_00007,B
TEST_00008,B
TEST_00009,B
TEST_00010,B
TEST_00011,B
TEST_00012,B
TEST_00013,B
TEST_00014,B
TEST_00015,B
TEST_00016,B
TEST_00017,B
TEST_00018,B
TEST_00019,B
TEST_00020,B
TEST_00021,B
TEST_00022,B
TEST_00023,B
TEST_00024,B
TEST_00025,B
TEST_00026,B
TEST_00027,B
TEST_00028,B
TEST_00029,B
TEST_00030,B
TEST_00031,B
TEST_00032,B
TEST_00033,B
TEST_00034,B
TEST_00035,B
TEST_00036,B
TEST_00037,B
TEST_00038,B
TEST_00039,B
TEST_00040,B
TEST_00041,B
TEST_00042,B
TEST_00043,B
TEST_00044,B
TEST_00045,B
TEST_00046,B
TEST_00047,B
TEST_00048,B
TEST_00049,B
TEST_00050,B
TEST_00051,B
TEST_00052,B
TEST_00053,B
TEST_00054,B
TEST_00055,B
TEST_00056,B
TEST_00057,B
TEST_00058,B
TEST_00059,B
TEST_00060,B
TEST_00061,B
TEST_00062,B
TEST_00063,B
TEST_00064,B
TEST_00065,B
TEST_00066,B
TEST_00067,B
TEST_00068,B
TEST_00069,B
TEST_00070,B
TEST_00071,B
TEST_00072,B
TEST_00073,B
TEST_00074,B
TEST_00075,B
TEST_00076,B
TEST_00077,B
TEST_00078,B
TEST_00079,B
TEST_00080,B
TEST_00081,B
TEST_00082,B
TEST_00083,B
TEST_00084,B
TEST_00085,B
TEST_00086,B
TEST_00087,B
TEST_00088,B
TEST_00089,B
TEST_00090,B
TEST_00091,B
TEST_00092,B
TEST_00093,B
TEST_00094,B
TEST_00095,B
TEST_00096,B
TEST_00097,B
TEST_00098,B
TEST_00099,B
TEST_00100,B
TEST_00101,B
TEST_00102,B
TEST_00103,B
TEST_00104,B
TEST_00105,B
TEST_00106,B
TEST_00107,B
TEST_00108,B
TEST_00109,B
TEST_00110,B
TEST_00111,B
TEST_00112,B
TEST_00113,B
TEST_00114,B
TEST_00115,B
TEST_00116,B
TEST_00117,B
TEST_00118,B
TEST_00119,B
TEST_00120,B
TEST_00121,B
TEST_00122,B
TEST_00123,B
TEST_00124,B
TEST_00125,B
TEST_00126,B
TEST_00127,B
TEST_00128,B
TEST_00129,B
TEST_00130,B
TEST_00131,B
TEST_00132,B
TEST_00133,B
TEST_00134,B
TEST_00135,B
TEST_00136,B
TEST_00137,B
TEST_00138,B
TEST_00139,B
TEST_00140,B
TEST_00141,B
TEST_00142,B
TEST_00143,B
TEST_00144,B
TEST_00145,B
TEST_00146,B
TEST_00147,B
TEST_00148,B
TEST_00149,B
TEST_00150,B
TEST_00151,B
TEST_00152,B
TEST_00153,B
TEST_00154,B
TEST_00155,B
TEST_00156,B
TEST_00157,B
TEST_00158,B
TEST_00159,B
TEST_00160,B
TEST_00161,B
TEST_00162,B
TEST_00163,B
TEST_00164,B
TEST_00165,B
TEST_00166,B
TEST_00167,B
TEST_00168,B
TEST_00169,B
TEST_00170,B
TEST_00171,B
TEST_00172,B
TEST_00173,B
TEST_00174,B
TEST_00175,B
TEST_00176,B
TEST_00177,B
TEST_00178,B
TEST_00179,B
TEST_00180,B
TEST_00181,B
TEST_00182,B
TEST_00183,B
TEST_00184,B
TEST_00185,B
TEST_00186,B
TEST_00187,B
TEST_00188,B
TEST_00189,B
TEST_00190,B
TEST_00191,B
TEST_00192,B
TEST_00193,B
TEST_00194,B
TEST_00195,B
TEST_00196,B
TEST_00197,B
TEST_00198,B
TEST_00199,B
TEST_00200,B
TEST_00201,B
TEST_00202,B
TEST_00203,B
TEST_00204,B
TEST_00205,B
TEST_00206,B
TEST_00207,B
TEST_00208,B
TEST_00209,B
TEST_00210,B
TEST_00211,B
TEST_00212,B
TEST_00213,B
TEST_00214,B
TEST_00215,B
TEST_00216,B
TEST_00217,B
TEST_00218,B
TEST_00219,B
TEST_00220,B
TEST_00221,B
TEST_00222,B
TEST_00223,B
TEST_00224,B
TEST_00225,B
TEST_00226,B
TEST_00227,B
TEST_00228,B
TEST_00229,B
TEST_00230,B
TEST_00231,B
TEST_00232,B
TEST_00233,B
TEST_00234,B
TEST_00235,B
TEST_00236,B
TEST_00237,B
TEST_00238,B
TEST_00239,B
TEST_00240,B
TEST_00241,B
TEST_00242,B
TEST_00243,B
TEST_00244,B
TEST_00245,B
TEST_00246,B
TEST_00247,B
TEST_00248,B
TEST_00249,B
TEST_00250,B
TEST_00251,B
TEST_00252,B
TEST_00253,B
TEST_00254,B
TEST_00255,B
TEST_00256,B
TEST_00257,B
TEST_00258,B
TEST_00259,B
TEST_00260,B
TEST_00261,B
TEST_00262,B
TEST_00263,B
TEST_00264,B
TEST_00265,B
TEST_00266,B
TEST_00267,B
TEST_00268,B
TEST_00269,B
TEST_00270,B
TEST_00271,B
TEST_00272,B
TEST_00273,B
TEST_00274,B
TEST_00275,B
TEST_00276,B
TEST_00277,B
TEST_00278,B
TEST_00279,B
TEST_00280,B
TEST_00281,B
TEST_00282,B
TEST_00283,B
TEST_00284,B
TEST_00285,B
TEST_00286,B
TEST_00287,B
TEST_00288,B
TEST_00289,B
TEST_00290,B
TEST_00291,B
TEST_00292,B
TEST_00293,B
TEST_00294,B
TEST_00295,B
TEST_00296,B
TEST_00297,B
TEST_00298,B
TEST_00299,B
TEST_00300,B
TEST_00301,B
TEST_00302,B
TEST_00303,B
TEST_00304,B
TEST_00305,B
TEST_00306,B
TEST_00307,B
TEST_00308,B
TEST_00309,B
TEST_00310,B
TEST_00311,B
TEST_00312,B
TEST_00313,B
TEST_00314,B
TEST_00315,B
TEST_00316,B
TEST_00317,B
TEST_00318,B
TEST_00319,B
TEST_00320,B
TEST_00321,B
TEST_00322,B
TEST_00323,B
TEST_00324,B
TEST_00325,B
TEST_00326,B
TEST_00327,B
TEST_00328,B
TEST_00329,B
TEST_00330,B
TEST_00331,B
TEST_00332,B
TEST_00333,B
TEST_00334,B
TEST_00335,B
TEST_00336,B
TEST_00337,B
TEST_00338,B
TEST_00339,B
TEST_00340,B
TEST_00341,B
TEST_00342,B
TEST_00343,B
TEST_00344,B
TEST_00345,B
TEST_00346,B
TEST_00347,B
TEST_00348,B
TEST_00349,B
TEST_00350,B
TEST_00351,B
TEST_00352,B
TEST_00353,B
TEST_00354,B
TEST_00355,B
TEST_00356,B
TEST_00357,B
TEST_00358,B
TEST_00359,B
TEST_00360,B
TEST_00361,B
TEST_00362,B
TEST_00363,B
TEST_00364,B
TEST_00365,B
TEST_00366,B
TEST_00367,B
TEST_00368,B
TEST_00369,B
TEST_00370,B
TEST_00371,B
TEST_00372,B
TEST_00373,B
TEST_00374,B
TEST_00375,B
TEST_00376,B
TEST_00377,B
TEST_00378,B
TEST_00379,B
TEST_00380,B
TEST_00381,B
TEST_00382,B
TEST_00383,B
TEST_00384,B
TEST_00385,B
TEST_00386,B
TEST_00387,B
TEST_00388,B
TEST_00389,B
TEST_00390,B
TEST_00391,B
TEST_00392,B
TEST_00393,B
TEST_00394,B
TEST_00395,B
TEST_00396,B
TEST_00397,B
TEST_00398,B
TEST_00399,B
TEST_00400,B
TEST_00401,B
TEST_00402,B
TEST_00403,B
TEST_00404,B
TEST_00405,B
TEST_00406,B
TEST_00407,B
TEST_00408,B
TEST_00409,B
TEST_00410,B
TEST_00411,B
TEST_00412,B
TEST_00413,B
TEST_00414,B
TEST_00415,B
TEST_00416,B
TEST_00417,B
TEST_00418,B
TEST_00419,B
TEST_00420,B
TEST_00421,B
TEST_00422,B
TEST_00423,B
TEST_00424,B
TEST_00425,B
TEST_00426,B
TEST_00427,B
TEST_00428,B
TEST_00429,B
TEST_00430,B
TEST_00431,B
TEST_00432,B
TEST_00433,B
TEST_00434,B
TEST_00435,B
TEST_00436,B
TEST_00437,B
TEST_00438,B
TEST_00439,B
TEST_00440,B
TEST_00441,B
TEST_00442,B
TEST_00443,B
TEST_00444,B
TEST_00445,B
TEST_00446,B
TEST_00447,B
TEST_00448,B
TEST_00449,B
TEST_00450,B
TEST_00451,B
TEST_00452,B
TEST_00453,B
TEST_00454,B
TEST_00455,B
TEST_00456,B
TEST_00457,B
TEST_00458,B
TEST_00459,B
TEST_00460,B
TEST_00461,B
TEST_00462,B
TEST_00463,B
TEST_00464,B
TEST_00465,B
TEST_00466,B
TEST_00467,B
TEST_00468,B
TEST_00469,B
TEST_00470,B
TEST_00471,B
TEST_00472,B
TEST_00473,B
TEST_00474,B
TEST_00475,B
TEST_00476,B
TEST_00477,B
TEST_00478,B
TEST_00479,B
TEST_00480,B
TEST_00481,B
TEST_00482,B
TEST_00483,B
TEST_00484,B
TEST_00485,B
TEST_00486,B
TEST_00487,B
TEST_00488,B
TEST_00489,B
TEST_00490,B
TEST_00491,B
TEST_00492,B
TEST_00493,B
TEST_00494,B
TEST_00495,B
TEST_00496,B
TEST_00497,B
TEST_00498,B
TEST_00499,B
TEST_00500,B
TEST_00501,B
TEST_00502,B
TEST_00503,B
TEST_00504,B
TEST_00505,B
TEST_00506,B
TEST_00507,B
TEST_00508,B
TEST_00509,B
TEST_00510,B
TEST_00511,B
TEST_00512,B
TEST_00513,B
TEST_00514,B
TEST_00515,B
TEST_00516,B
TEST_00517,B
TEST_00518,B
TEST_00519,B
TEST_00520,B
TEST_00521,B
TEST_00522,B
TEST_00523,B
TEST_00524,B
TEST_00525,B
TEST_00526,B
TEST_00527,B
TEST_00528,B
TEST_00529,B
TEST_00530,B
TEST_00531,B
TEST_00532,B
TEST_00533,B
TEST_00534,B
TEST_00535,B
TEST_00536,B
TEST_00537,B
TEST_00538,B
TEST_00539,B
TEST_00540,B
TEST_00541,B
TEST_00542,B
TEST_00543,B
TEST_00544,B
TEST_00545,B
TEST_00546,B
TEST_00547,B
TEST_00548,B
TEST_00549,B
TEST_00550,B
TEST_00551,B
TEST_00552,B
TEST_00553,B
TEST_00554,B
TEST_00555,B
TEST_00556,B
TEST_00557,B
TEST_00558,B
TEST_00559,B
TEST_00560,B
TEST_00561,B
TEST_00562,B
TEST_00563,B
TEST_00564,B
TEST_00565,B
TEST_00566,B
TEST_00567,B
TEST_00568,B
TEST_00569,B
TEST_00570,B
TEST_00571,B
TEST_00572,B
TEST_00573,B
TEST_00574,B
TEST_00575,B
TEST_00576,B
TEST_00577,B
TEST_00578,B
TEST_00579,B
TEST_00580,B
TEST_00581,B
TEST_00582,B
TEST_00583,B
TEST_00584,B
TEST_00585,B
TEST_00586,B
TEST_00587,B
TEST_00588,B
TEST_00589,B
TEST_00590,B
TEST_00591,B
TEST_00592,B
TEST_00593,B
TEST_00594,B
TEST_00595,B
TEST_00596,B
TEST_00597,B
TEST_00598,B
TEST_00599,B
TEST_00600,B
TEST_00601,B
TEST_00602,B
TEST_00603,B
TEST_00604,B
TEST_00605,B
TEST_00606,B
TEST_00607,B
TEST_00608,B
TEST_00609,B
TEST_00610,B
TEST_00611,B
TEST_00612,B
TEST_00613,B
TEST_00614,B
TEST_00615,B
TEST_00616,B
TEST_00617,B
TEST_00618,B
TEST_00619,B
TEST_00620,B
TEST_00621,B
TEST_00622,B
TEST_00623,B
TEST_00624,B
TEST_00625,B
TEST_00626,B
TEST_00627,B
TEST_00628,B
TEST_00629,B
TEST_00630,B
TEST_00631,B
TEST_00632,B
TEST_00633,B
TEST_00634,B
TEST_00635,B
TEST_00636,B
TEST_00637,B
TEST_00638,B
TEST_00639,B
TEST_00640,B
TEST_00641,B
TEST_00642,B
TEST_00643,B
TEST_00644,B
TEST_00645,B
TEST_00646,B
TEST_00647,B
TEST_00648,B
TEST_00649,B
TEST_00650,B
TEST_00651,B
TEST_00652,B
TEST_00653,B
TEST_00654,B
TEST_00655,B
TEST_00656,B
TEST_00657,B
TEST_00658,B
TEST_00659,B
TEST_00660,B
TEST_00661,B
TEST_00662,B
TEST_00663,B
TEST_00664,B
TEST_00665,B
TEST_00666,B
TEST_00667,B
TEST_00668,B
TEST_00669,B
TEST_00670,B
TEST_00671,B
TEST_00672,B
TEST_00673,B
TEST_00674,B
TEST_00675,B
TEST_00676,B
TEST_00677,B
TEST_00678,B
TEST_00679,B
TEST_00680,B
TEST_00681,B
TEST_00682,B
TEST_00683,B
TEST_00684,B
TEST_00685,B
TEST_00686,B
TEST_00687,B
TEST_00688,B
TEST_00689,B
TEST_00690,B
TEST_00691,B
TEST_00692,B
TEST_00693,B
TEST_00694,B
TEST_00695,B
TEST_00696,B
TEST_00697,B
TEST_00698,B
TEST_00699,B
TEST_00700,B
TEST_00701,B
TEST_00702,B
TEST_00703,B
TEST_00704,B
TEST_00705,B
TEST_00706,B
TEST_00707,B
TEST_00708,B
TEST_00709,B
TEST_00710,B
TEST_00711,B
TEST_00712,B
TEST_00713,B
TEST_00714,B
TEST_00715,B
TEST_00716,B
TEST_00717,B
TEST_00718,B
TEST_00719,B
TEST_00720,B
TEST_00721,B
TEST_00722,B
TEST_00723,B
TEST_00724,B
TEST_00725,B
TEST_00726,B
TEST_00727,B
TEST_00728,B
TEST_00729,B
TEST_00730,B
TEST_00731,B
TEST_00732,B
TEST_00733,B
TEST_00734,B
TEST_00735,B
TEST_00736,B
TEST_00737,B
TEST_00738,B
TEST_00739,B
TEST_00740,B
TEST_00741,B
TEST_00742,B
TEST_00743,B
TEST_00744,B
TEST_00745,B
TEST_00746,B
TEST_00747,B
TEST_00748,B
TEST_00749,B
TEST_00750,B
TEST_00751,B
TEST_00752,B
TEST_00753,B
TEST_00754,B
TEST_00755,B
TEST_00756,B
TEST_00757,B
TEST_00758,B
TEST_00759,B
TEST_00760,B
TEST_00761,B
TEST_00762,B
TEST_00763,B
TEST_00764,B
TEST_00765,B
TEST_00766,B
TEST_00767,B
TEST_00768,B
TEST_00769,B
TEST_00770,B
TEST_00771,B
TEST_00772,B
TEST_00773,B
TEST_00774,B
TEST_00775,B
TEST_00776,B
TEST_00777,B
TEST_00778,B
TEST_00779,B
TEST_00780,B
TEST_00781,B
TEST_00782,B
TEST_00783,B
TEST_00784,B
TEST_00785,B
TEST_00786,B
