ID,대출등급
TEST_00000,D
TEST_00001,D
TEST_00002,D
TEST_00003,D
TEST_00004,A
TEST_00005,D
TEST_00006,D
TEST_00007,D
TEST_00008,D
TEST_00009,D
TEST_00010,D
TEST_00011,D
TEST_00012,C
TEST_00013,A
TEST_00014,D
TEST_00015,D
TEST_00016,D
TEST_00017,D
TEST_00018,A
TEST_00019,D
TEST_00020,D
TEST_00021,D
TEST_00022,C
TEST_00023,D
TEST_00024,D
TEST_00025,C
TEST_00026,D
TEST_00027,D
TEST_00028,C
TEST_00029,C
TEST_00030,C
TEST_00031,D
TEST_00032,D
TEST_00033,D
TEST_00034,D
TEST_00035,D
TEST_00036,C
TEST_00037,D
TEST_00038,D
TEST_00039,C
TEST_00040,D
TEST_00041,C
TEST_00042,D
TEST_00043,D
TEST_00044,D
TEST_00045,D
TEST_00046,D
TEST_00047,C
TEST_00048,D
TEST_00049,C
TEST_00050,D
TEST_00051,C
TEST_00052,D
TEST_00053,D
TEST_00054,C
TEST_00055,C
TEST_00056,C
TEST_00057,C
TEST_00058,D
TEST_00059,D
TEST_00060,C
TEST_00061,D
TEST_00062,D
TEST_00063,D
TEST_00064,D
TEST_00065,D
TEST_00066,C
TEST_00067,C
TEST_00068,D
TEST_00069,C
TEST_00070,D
TEST_00071,A
TEST_00072,C
TEST_00073,D
TEST_00074,D
TEST_00075,D
TEST_00076,D
TEST_00077,D
TEST_00078,D
TEST_00079,C
TEST_00080,C
TEST_00081,D
TEST_00082,D
TEST_00083,D
TEST_00084,D
TEST_00085,D
TEST_00086,C
TEST_00087,D
TEST_00088,C
TEST_00089,D
TEST_00090,C
TEST_00091,C
TEST_00092,C
TEST_00093,C
TEST_00094,D
TEST_00095,A
TEST_00096,D
TEST_00097,D
TEST_00098,A
TEST_00099,C
TEST_00100,D
TEST_00101,C
TEST_00102,D
TEST_00103,D
TEST_00104,D
TEST_00105,A
TEST_00106,C
TEST_00107,D
TEST_00108,D
TEST_00109,C
TEST_00110,C
TEST_00111,D
TEST_00112,D
TEST_00113,D
TEST_00114,D
TEST_00115,C
TEST_00116,D
TEST_00117,D
TEST_00118,D
TEST_00119,C
TEST_00120,C
TEST_00121,D
TEST_00122,D
TEST_00123,D
TEST_00124,C
TEST_00125,D
TEST_00126,C
TEST_00127,C
TEST_00128,D
TEST_00129,D
TEST_00130,C
TEST_00131,D
TEST_00132,C
TEST_00133,C
TEST_00134,C
TEST_00135,D
TEST_00136,D
TEST_00137,D
TEST_00138,C
TEST_00139,D
TEST_00140,D
TEST_00141,D
TEST_00142,D
TEST_00143,D
TEST_00144,A
TEST_00145,D
TEST_00146,C
TEST_00147,D
TEST_00148,D
TEST_00149,D
TEST_00150,D
TEST_00151,C
TEST_00152,D
TEST_00153,D
TEST_00154,D
TEST_00155,D
TEST_00156,D
TEST_00157,D
TEST_00158,D
TEST_00159,D
TEST_00160,C
TEST_00161,A
TEST_00162,D
TEST_00163,D
TEST_00164,C
TEST_00165,D
TEST_00166,C
TEST_00167,C
TEST_00168,C
TEST_00169,D
TEST_00170,D
TEST_00171,D
TEST_00172,C
TEST_00173,C
TEST_00174,D
TEST_00175,C
TEST_00176,D
TEST_00177,D
TEST_00178,C
TEST_00179,C
TEST_00180,D
TEST_00181,D
