index,quality
0,6
1,6
2,6
3,6
4,6
5,5
6,6
7,6
8,6
9,6
10,5
11,5
12,6
13,6
14,6
15,5
16,5
17,6
18,5
19,5
20,6
21,6
22,5
23,6
24,6
25,5
26,5
27,5
28,6
29,6
30,6
31,6
32,5
33,5
34,6
35,6
36,5
37,5
38,7
39,6
40,6
41,5
42,6
43,6
44,6
45,6
46,5
47,6
48,6
49,6
50,5
51,5
52,6
53,5
54,5
55,6
56,6
57,5
58,6
59,6
60,5
61,5
62,6
63,6
64,6
65,6
66,5
67,5
68,6
69,5
70,5
71,5
72,5
73,5
74,6
75,5
76,5
77,7
78,6
79,6
80,6
81,6
82,5
83,5
84,6
85,6
86,6
87,6
88,6
89,6
90,6
91,6
92,6
93,6
94,6
95,6
96,6
97,6
98,6
99,6
100,5
101,5
102,6
103,5
104,5
105,6
106,6
107,6
108,6
109,6
110,6
111,6
112,6
113,6
114,5
115,6
116,5
117,6
118,6
119,6
120,6
121,5
122,5
123,7
124,6
125,5
126,6
127,6
128,6
129,7
130,5
131,5
132,6
133,5
134,6
135,6
136,5
137,6
138,5
139,5
140,5
141,5
142,6
143,5
144,6
145,5
146,6
147,5
148,7
149,6
150,6
151,7
152,6
153,5
154,6
155,5
156,5
157,6
158,6
159,5
160,5
161,5
162,6
163,6
164,6
165,6
166,5
167,6
168,5
169,5
170,5
171,5
172,6
173,5
174,6
175,6
176,6
177,5
178,6
179,6
180,6
181,5
182,6
183,6
184,5
185,6
186,6
187,6
188,6
189,6
190,7
191,6
192,5
193,6
194,6
195,6
196,6
197,5
198,5
199,5
200,6
201,5
202,5
203,5
204,5
205,5
206,6
207,6
208,6
209,5
210,7
211,5
212,6
213,6
214,6
215,6
216,5
217,6
218,6
219,6
220,6
221,6
222,6
223,6
224,6
225,6
226,6
227,5
228,6
229,5
230,6
231,6
232,6
233,6
234,6
235,6
236,6
237,6
238,6
239,6
240,6
241,6
242,6
243,6
244,6
245,6
246,6
247,7
248,6
249,6
250,5
251,6
252,6
253,7
254,6
255,6
256,6
257,6
258,6
259,5
260,6
261,5
262,6
263,6
264,5
265,7
266,6
267,6
268,6
269,6
270,6
271,5
272,5
273,5
274,6
275,6
276,7
277,6
278,6
279,6
280,6
281,6
282,6
283,6
284,6
285,7
286,6
287,6
288,5
289,6
290,5
291,5
292,5
293,6
294,5
295,6
296,6
297,6
298,5
299,7
300,6
301,6
302,5
303,5
304,6
305,6
306,5
307,6
308,5
309,6
310,5
311,5
312,6
313,5
314,6
315,6
316,6
317,5
318,6
319,6
320,5
321,5
322,5
323,5
324,5
325,5
326,5
327,6
328,6
329,5
330,5
331,6
332,6
333,5
334,5
335,6
336,5
337,6
338,6
339,5
340,6
341,5
342,5
343,6
344,6
345,6
346,6
347,6
348,6
349,3
350,5
351,5
352,5
353,6
354,6
355,5
356,6
357,6
358,6
359,6
360,5
361,6
362,5
363,6
364,7
365,6
366,5
367,3
368,7
369,6
370,6
371,5
372,5
373,6
374,5
375,5
376,5
377,6
378,6
379,6
380,6
381,6
382,6
383,6
384,5
385,6
386,6
387,5
388,7
389,5
390,6
391,5
392,6
393,6
394,5
395,6
396,5
397,6
398,6
399,5
400,6
401,5
402,6
403,6
404,6
405,6
406,5
407,5
408,6
409,5
410,6
411,5
412,6
413,5
414,5
415,7
416,6
417,6
418,5
419,5
420,6
421,6
422,5
423,6
424,6
425,6
426,5
427,6
428,5
429,5
430,6
431,6
432,6
433,6
434,6
435,5
436,7
437,6
438,5
439,5
440,5
441,6
442,6
443,6
444,6
445,6
446,6
447,5
448,5
449,6
450,6
451,7
452,5
453,6
454,5
455,5
456,7
457,5
458,6
459,5
460,6
461,6
462,5
463,5
464,5
465,5
466,6
467,5
468,6
469,5
470,5
471,5
472,5
473,5
474,5
475,6
476,6
477,7
478,6
479,6
480,7
481,6
482,6
483,6
484,6
485,5
486,6
487,6
488,5
489,5
490,6
491,6
492,5
493,6
494,5
495,6
496,6
497,5
498,7
499,6
500,6
501,6
502,6
503,6
504,6
505,5
506,6
507,6
508,5
509,6
510,5
511,3
512,6
513,6
514,6
515,5
516,5
517,6
518,6
519,5
520,5
521,6
522,5
523,6
524,6
525,5
526,6
527,6
528,6
529,6
530,5
531,6
532,6
533,6
534,7
535,6
536,6
537,6
538,5
539,6
540,5
541,5
542,7
543,6
544,7
545,5
546,6
547,5
548,6
549,6
550,5
551,6
552,6
553,6
554,5
555,6
556,5
557,6
558,5
559,6
560,5
561,6
562,5
563,6
564,6
565,6
566,6
567,7
568,6
569,5
570,6
571,5
572,5
573,6
574,6
575,5
576,6
577,5
578,5
579,5
580,6
581,6
582,5
583,6
584,6
585,6
586,6
587,6
588,6
589,6
590,6
591,5
592,7
593,6
594,5
595,5
596,5
597,7
598,5
599,6
600,6
601,6
602,6
603,6
604,5
605,6
606,5
607,6
608,6
609,5
610,7
611,5
612,6
613,5
614,6
615,6
616,5
617,6
618,6
619,6
620,6
621,5
622,6
623,6
624,5
625,6
626,5
627,6
628,6
629,6
630,6
631,6
632,6
633,5
634,6
635,6
636,5
637,6
638,7
639,5
640,5
641,6
642,5
643,5
644,6
645,6
646,6
647,5
648,5
649,5
650,6
651,5
652,6
653,6
654,6
655,5
656,6
657,6
658,6
659,5
660,6
661,6
662,5
663,6
664,6
665,5
666,6
667,6
668,6
669,5
670,6
671,6
672,6
673,6
674,6
675,5
676,5
677,6
678,6
679,6
680,6
681,6
